4/3/2025 9:36:01,Eden or Nathan,1405,113.5,18 mph ,Swerve,Pick up coral from a human player,Yes,0,0,0,"0, 1, 2, 3",0,0,Anywhere,The reef,Place on the target with an elevator,Remove from reef,Can hang from a deep cage,Decent design and somewhat difficult to break,
4/3/2025 9:38:30,Eden or Nathan,1559,110,L3 swerve ,Swerve,Pick up coral from a human player,Yes,0,0,0,"0, 1, 2",0,0,Middle,The reef,Place on the target with an elevator,None,Can hang from a deep cage,Decent design and somewhat difficult to break,
4/3/2025 9:42:20,Chima or Tyler,9767,107.2,Decently fast,Swerve,"Pick up algae from the reef, Pick up algae from the ground",Yes,0,0,0,0,0,0,"Middle, Anywhere",The processor,Does not score coral,Place on the target with an arm or claw,Can hang from a deep cage,"Middling design, not fully fitted, and somewhat flimsy",Smells like marshmallows
4/3/2025 9:43:53,Eden or Nathan,1787,106,Supa fast,Swerve,Pick up coral from the ground,Yes,0,0,0,"0, 1, 2, 3, 4, 5",0,0,"Left, Right",The reef,Place on the target with an arm or claw,None,Can hang from a deep cage,"Stylish design, well-fitted, and tough to break",Extremely well designed bot. Cool leds 🕶️. Cheeseburger!
4/3/2025 9:47:30,Chima or Tyler,10208,99.8,Middling,Mecanum,"Pick up algae from the reef, Pick up algae from the ground",Yes,1,0,0,0,0,0,Middle,"The processor, The net",Does not ,Place on the target with an elevator,Cannot hang from a cage,Decent design and somewhat difficult to break,
4/3/2025 9:48:11,Eden or Nathan,2228,114.9,fast,Swerve,Pick up coral from a human player,Yes,0,0,0,"0, 1, 2","0, 1",0,Anywhere,"The reef, The processor, The net",Place on the target with an elevator,Place on the target with an elevator,Can hang from a deep cage,"Middling design, not fully fitted, and somewhat flimsy",
4/3/2025 9:50:25,Eden or Nathan,2172,112,Pretty fast,Swerve,Pick up coral from a human player,Yes,0,0,0,"0, 1",0,0,"Right, Anywhere",The reef,Place on the target with an elevator,Push algae with the robot,Can hang from a shallow cage,Decent design and somewhat difficult to break,
4/3/2025 9:54:08,Chima or Tyler,10582,75,Slow and steady,Swerve,"Pick up coral from the ground, Pick up algae from the reef",Yes,0,0,0,0,0,0,Anywhere,"The reef, The processor",Place on the target with an elevator,Place on the target with an elevator,Cannot hang from a cage,Decent design and somewhat difficult to break,High center of mass
4/3/2025 9:57:35,Chima or Tyler,10303,104,4.71 m/s,Swerve,"Pick up coral from a human player, Pick up algae from the reef, Pick up algae from the ground",Yes,0,0,1,0,0,0,Left,"The reef, The processor",Place on the target with an elevator,Place on the target with an elevator,Can hang from a shallow cage,Decent design and somewhat difficult to break,Auto alignment
4/3/2025 10:02:38,"Piper, JJ, or Kallin",3777,?,?,Tank,Full defense,No,0,0,0,0,0,0,Anywhere,None of the above,None,N/A,Cannot hang from a cage,"Middling design, not fully fitted, and somewhat flimsy","Only defense
Small team
Only electronics on robot
Unsure about moving during auto"
